"age","identifies_as_man","identifies_as_woman","identifies_as_hispanic_or_latinx","identifies_as_black","identifies_as_white","highest_education_level","length_in_this_facility","state","party","how_often_discuss_politics","how_get_news","ever_voted","direction_country_headed","how_often_officials_acting_in_your_interest","which_party_for_cj_reform","stance_on_assault_weapons_ban","stance_on_marijuana_legalization","stance_on_tightening_border_security","stance_on_raise_min_wage","race_affects_politics","should_incarcerated_vote","incarceration_impacts_motivation_to_vote","politics_changed_since_incarcerated","cj_important_issue_eliminating_mandatory_mins","cj_important_issue_reducing_racial_bias","cj_important_issue_abolishing_death_penalty","cj_important_issue_lowering_incarceration_rates_rural_communities","cj_important_issue_improving_prison_conds","cj_important_issue_restoring_voting_rights","cj_important_issue_reducing_prison_pop","cj_important_issue_ending_war_on_drugs","cj_important_issue_ending_private_prisons","cj_important_issue_lowering_sentences_violent_crimes","cj_important_issue_raising_wages_incarcerated_workers","who_vote_for","approve_disapprove_trump","n"
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Very Frequently","Local TV news","No","Wrong track","Never","Neither is committed","Strongly support","Support","Strongly oppose",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Very Frequently","Local TV news","No","Wrong track","Never","Neither is committed","Strongly support","Support","Support","Strongly support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local TV news","No","Wrong track","Never","Don't know / No opinion","Strongly support","Strongly support","Strongly support","Strongly support","Not sure","No",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Very Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Never","Do not read / watch / listen to the news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Undecided",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Frequently","Word of mouth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Very Frequently","Newspapers","No","In between","Rarely","Democrats","Strongly support","Strongly oppose","Support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local radio","Yes","Wrong track","Rarely","Democrats","Support","Strongly support","Undecided","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","1","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Frequently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Newspapers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Rarely","Local TV news","No","Wrong track","Rarely","Don't know / No opinion","Strongly support","Strongly support","Strongly support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Never","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Never","Cable news","No","Wrong track","Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Do not have access to news","Yes","Wrong track","Rarely","Neither is committed","Support","Undecided","Support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Frequently","Local TV news","Yes","Wrong track","Rarely","Neither is committed","Strongly support","Support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local TV news","No","In between","Rarely","Democrats","Undecided","Strongly support","Strongly oppose","Support","Not at all","Yes","Slightly increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local TV news","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
