"age","identifies_as_man","identifies_as_woman","identifies_as_hispanic_or_latinx","identifies_as_black","identifies_as_white","highest_education_level","length_in_this_facility","state","party","how_often_discuss_politics","how_get_news","ever_voted","direction_country_headed","how_often_officials_acting_in_your_interest","which_party_for_cj_reform","stance_on_assault_weapons_ban","stance_on_marijuana_legalization","stance_on_tightening_border_security","stance_on_raise_min_wage","race_affects_politics","should_incarcerated_vote","incarceration_impacts_motivation_to_vote","politics_changed_since_incarcerated","cj_important_issue_eliminating_mandatory_mins","cj_important_issue_reducing_racial_bias","cj_important_issue_abolishing_death_penalty","cj_important_issue_lowering_incarceration_rates_rural_communities","cj_important_issue_improving_prison_conds","cj_important_issue_restoring_voting_rights","cj_important_issue_reducing_prison_pop","cj_important_issue_ending_war_on_drugs","cj_important_issue_ending_private_prisons","cj_important_issue_lowering_sentences_violent_crimes","cj_important_issue_raising_wages_incarcerated_workers","who_vote_for","approve_disapprove_trump"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Occasionally","Newspapers","No","In between","Rarely","Don't know / No opinion","Undecided","Strongly support","Oppose","Support","Not at all","Yes","Increased my motivation to vote","Yes","0","1","0","0","1","0","0","0","0","0","1","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Never","Do not have access to news","No","In between","Rarely","Neither is committed","Oppose","Strongly support","Undecided","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","1","1","0","0","1","0","0","0","0","0","0","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local TV news","No","Wrong track","Don't know / No opinion","Don't know / No opinion","Strongly support","Strongly support","Strongly oppose","Strongly support","Not sure","Yes","No impact","Yes","1","1","0","0","0","0","0","0","0","0","1","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Frequently","Word of mouth","No","Wrong track","Never","Democrats","Strongly support","Support","Strongly oppose","Support","A great deal","Yes","Increased my motivation to vote","No","1","0","0","0","1","0","0","0","0","1","0","Kamala Harris","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local radio","Yes","Right direction","Very often","They're equally committed","Support","Support","Support","Support","A great deal","Yes","Slightly increased my motivation to vote","Yes","1","0","0","0","0","0","0","0","1","0","0","Julian Castro","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Rarely","Local TV news","No","Wrong track","Don't know / No opinion","Don't know / No opinion","Strongly support","Support","Undecided","Strongly support","Not sure","Yes","No impact","No","0","0","0","0","1","0","1","0","0","1","0","Joe Biden","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Never","Do not read / watch / listen to the news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Undecided","Strongly support","Undecided","Strongly support","Not at all","Yes","No impact","No","0","1","0","0","0","0","0","0","0","1","1","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Rarely","Word of mouth","Yes","In between","Never","They're equally committed","Support","Strongly support","Undecided","Support","Somewhat","Don't know / No opinion","No impact","No","0","1","0","0","0","0","1","0","0","1","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Rarely","Local TV news","No","Wrong track","Never","Democrats","Strongly support","Strongly support","Support","Strongly support","Somewhat","Yes","Slightly increased my motivation to vote","Yes","0","1","0","0","0","1","0","0","0","1","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Local TV news","No","In between","Rarely","Democrats","Support","Strongly support","Undecided","Strongly support","Somewhat","Yes","Increased my motivation to vote","No","0","1","0","0","0","1","0","0","0","1","0","Joe Biden","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Very Frequently","Local TV news","Yes","Right direction","Never","Democrats","Strongly support","Support","Strongly oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","No","1","1","1","0","0","0","0","0","0","0","0","Joe Biden","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Never","Local TV news","Yes","Wrong track","Never","Don't know / No opinion","Oppose","Strongly support","Oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","No","0","0","0","0","1","0","1","0","0","1","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Very Frequently","Local TV news","Yes","Wrong track","Don't know / No opinion","They're equally committed","Strongly support","Strongly support","Undecided","Strongly support","Somewhat","Yes","Increased my motivation to vote","No","1","1","0","0","0","0","0","0","0","1","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Frequently","Newspapers","No","In between","Sometimes","Neither is committed","Strongly support","Strongly support","Oppose","Strongly support","Somewhat","Yes","Slightly increased my motivation to vote","No","0","0","0","0","0","0","1","0","0","1","1","Kamala Harris","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Frequently","Local TV news","Yes","Wrong track","Sometimes","Democrats","Undecided","Strongly support","Undecided","Strongly support","Somewhat","Yes","Slightly increased my motivation to vote","No","0","0","1","0","1","1","0","0","0","0","0","Joe Biden","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Frequently","Local TV news","No","Wrong track","Never","Democrats","Undecided","Undecided","Undecided","Strongly support","Not sure","Yes","No impact","Yes","0","1","0","0","1","0","0","1","0","0","0","Elizabeth Warren","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Local TV news","Yes","No opinion","Don't know / No opinion","Don't know / No opinion","Undecided","Strongly support","Oppose","Strongly support","Not sure","Yes","No impact","No","0","1","0","0","0","0","1","0","0","1","0","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Word of mouth","No","Wrong track","Rarely","Democrats","Strongly support","Strongly support","Strongly oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","No","0","1","0","0","1","0","1","0","0","0","0","Pete Buttigieg","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Rarely","Newspapers","No","Wrong track","Never","Neither is committed","Support","Strongly support","Oppose","Strongly support","Somewhat","Don't know / No opinion","No impact","No","1","0","0","1","0","0","1","0","0","0","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Frequently","Local TV news","No","Wrong track","Sometimes","They're equally committed","Support","Strongly support","Oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","No","0","1","0","0","1","1","0","0","0","0","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Very Frequently","Cable news","No","In between","Sometimes","Democrats","Undecided","Strongly support","Strongly support","Strongly support","A great deal","Don't know / No opinion","Increased my motivation to vote","Yes","0","0","1","0","0","0","0","0","0","1","1","Bernie Sanders","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Cable news","No","Wrong track","Rarely","Democrats","Support","Strongly support","Undecided","Support","Somewhat","Yes","Increased my motivation to vote","Yes","1","0","0","0","1","0","1","0","0","0","0","Andrew Yang","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Rarely","Newspapers, Local TV news","Yes","In between","Rarely","Neither is committed","Undecided","Support","Undecided","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","1","1","0","0","0","0","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Rarely","Word of mouth","No","Wrong track","Sometimes","Democrats","Strongly support","Strongly support","Undecided","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","1","0","0","0","0","0","1","0","0","1","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Never","Local TV news","Yes","In between","Never","Neither is committed","Support","Strongly support","Undecided","Strongly oppose","Somewhat","Yes","Slightly increased my motivation to vote","No","0","1","0","0","0","0","0","0","0","0","1","Kamala Harris","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Very Frequently","Newspapers, National public radio, Local TV news","No","In between","Sometimes","Democrats","Undecided","Support","Support","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","1","0","0","0","0","1","0","0","0","1","0","Pete Buttigieg","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Occasionally","Local TV news","No","Wrong track","Rarely","Don't know / No opinion","Undecided","Undecided","Support","Strongly support","Somewhat","Yes","No impact","No","0","0","0","0","1","0","1","0","0","1","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Occasionally","Local TV news","No","Right direction","Sometimes","Democrats","Strongly support","Strongly support","Strongly support","Strongly support","Not at all","Yes","No impact","No","0","0","1","0","0","0","1","0","0","0","1","Elizabeth Warren","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Frequently","Local TV news","No","Wrong track","Very often","They're equally committed","Undecided","Undecided","Support","Undecided","Somewhat","No","Slightly increased my motivation to vote","Yes","0","0","1","0","0","0","0","1","0","0","0","Kamala Harris","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Occasionally","Local TV news","No","Wrong track","Rarely","Neither is committed","Strongly oppose","Strongly support","Oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","1","1","0","0","0","0","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Rarely","Local TV news","Yes","Wrong track","Rarely","Democrats","Oppose","Strongly support","Support","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","1","0","0","0","0","0","1","0","0","1","0","Kamala Harris","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Never","Local TV news","Yes","Wrong track","Sometimes","Democrats","Support","Strongly support","Support","Strongly support","A great deal","Yes","No impact","No","0","0","0","0","1","1","1","0","0","0","0","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Very Frequently","Local TV news","No","Wrong track","Sometimes","Democrats","Undecided","Support","Oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","No","0","0","0","0","1","1","1","0","0","0","0","Kamala Harris","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Local TV news","Yes","In between","Sometimes","They're equally committed","Undecided","Undecided","Undecided","Strongly support","Not at all","Yes","No impact","No","0","1","0","0","0","1","1","0","0","0","0","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Newspapers","No","Wrong track","Rarely","Neither is committed","Undecided","Strongly support","Oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","0","1","0","0","1","0","0","1","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Frequently","Local TV news","Yes","Wrong track","Rarely","Democrats","Undecided","Strongly support","Support","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","1","1","0","0","0","1","0","0","0","0","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Local TV news","No","In between","Sometimes","Don't know / No opinion","Strongly support","Strongly support","Support","Strongly support","Not sure","Don't know / No opinion","No impact","No","1","0","0","0","0","0","1","0","0","0","1","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Very Frequently","National public radio","No","Wrong track","Never","Neither is committed","Undecided","Strongly support","Strongly oppose","Undecided","Not sure","No","Increased my motivation to vote","Yes","0","1","0","0","0","0","1","0","0","1","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Never","Local TV news","Yes","In between","Never","They're equally committed","Strongly oppose","Strongly support","Oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","0","0","0","0","1","1","Elizabeth Warren","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local TV news","No","In between","Don't know / No opinion","Don't know / No opinion","Strongly support","Strongly support","Oppose","Strongly support","Somewhat","Yes","No impact","Yes","1","0","0","0","0","0","0","0","0","1","1","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Never","Newspapers","No","Wrong track","Never","Don't know / No opinion","Undecided","Strongly support","Oppose","Strongly support","A great deal","Yes","No impact","No","0","1","0","0","1","0","0","0","0","0","1","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Newspapers","No","Wrong track","Rarely","Democrats","Undecided","Strongly support","Strongly support","Strongly support","Not at all","Yes","Increased my motivation to vote","No","0","1","0","0","0","0","0","1","1","0","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Rarely","Local TV news","No","In between","Sometimes","Democrats","Oppose","Strongly support","Support","Support","Somewhat","Yes","Increased my motivation to vote","Yes","0","1","0","1","0","0","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Frequently","Newspapers","Yes","Wrong track","Rarely","Democrats","Oppose","Strongly support","Support","Oppose","Somewhat","No","No impact","No","0","0","0","0","0","0","1","0","1","1","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Never","Cable news","No","In between","Rarely","Democrats","Strongly oppose","Strongly support","Strongly oppose","Strongly oppose","A great deal","Yes","Slightly increased my motivation to vote","No","0","0","0","0","1","0","0","0","0","1","1","Don't Know / Would not vote","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Local TV news","No","Wrong track","Rarely","Neither is committed","Strongly support","Support","Support","Strongly support","Somewhat","No","Increased my motivation to vote","Yes","1","0","0","0","0","0","1","0","0","1","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Word of mouth","No","Wrong track","Sometimes","Don't know / No opinion","Strongly support","Strongly support","Undecided","Strongly support","Not sure","Don't know / No opinion","No impact","No","1","0","0","0","0","0","1","0","0","1","0","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local radio","Yes","Wrong track","Don't know / No opinion","Democrats","Oppose","Strongly support","Oppose","Strongly support","Not sure","Yes","Decreased my motivation to vote","Yes","0","0","0","0","0","0","1","1","0","0","1","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Local TV news","Yes","Wrong track","Rarely","Neither is committed","Strongly oppose","Strongly support","Support","Strongly support","A great deal","Yes","Decreased my motivation to vote","No","1","1","0","0","0","0","0","0","0","1","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Local TV news","Yes","Wrong track","Never","Democrats","Undecided","Undecided","Oppose","Strongly support","Not at all","Yes","Increased my motivation to vote","No","1","0","0","0","1","1","0","0","0","0","0","Joe Biden","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Local TV news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Strongly oppose","Strongly support","Support","Strongly support","A great deal","Yes","Slightly decreased my motivation to vote","No","0","1","0","0","0","0","0","0","0","1","0","Joe Biden","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Very Frequently","Local TV news","Yes","Right direction","Don't know / No opinion","Neither is committed","Undecided","Undecided","Oppose","Support","Somewhat","Don't know / No opinion","Slightly increased my motivation to vote","Yes","0","0","1","0","0","0","0","1","0","1","0","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local TV news","No","In between","Sometimes","Democrats","Support","Oppose","Oppose","Support","Somewhat","Yes","No impact","Yes","0","1","0","0","0","0","0","1","0","1","0","Julian Castro","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Newspapers","No","In between","Don't know / No opinion","Don't know / No opinion","Undecided","Strongly support","Strongly oppose","Strongly support","Not sure","Don't know / No opinion","Slightly increased my motivation to vote","No","0","1","0","0","0","1","0","0","0","0","1","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Never","Newspapers, Local TV news, Word of mouth","No","Right direction","Sometimes","Don't know / No opinion","Support","Support","Support","Strongly support","Not at all","No","Increased my motivation to vote","Yes","1","0","0","0","1","0","0","0","0","1","0",NA,"Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Never","Local TV news","No","In between","Don't know / No opinion","Neither is committed","Undecided","Strongly support","Strongly oppose","Strongly support","Somewhat","Don't know / No opinion","Increased my motivation to vote","No","1","0","0","0","1","0","0","0","0","0","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local TV news","Yes","In between","Rarely","Don't know / No opinion","Support","Support","Oppose","Support","Somewhat","Yes","Slightly increased my motivation to vote","Yes","0","1","1","0","0","0","1","0","0","0","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Never","National public radio","No","In between","Don't know / No opinion","Don't know / No opinion","Oppose","Strongly support","Oppose","Strongly support","Not sure","Yes","Slightly increased my motivation to vote","No","0","1","0","0","1","0","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local TV news","No","Wrong track","Don't know / No opinion","Don't know / No opinion","Undecided","Strongly support","Oppose","Strongly support","Not at all","Don't know / No opinion","No impact","No","1","0","0","0","0","0","1","0","0","0","1","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local TV news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Undecided","Strongly support","Undecided","Strongly support","Somewhat","Don't know / No opinion","Slightly decreased my motivation to vote","No","0","0","0","1","0","1","0","0","0","0","1","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local TV news","No","No opinion","Rarely","Neither is committed","Strongly oppose","Strongly support","Undecided","Strongly support","Not sure","Yes","No impact","Yes","0","0","0","0","0","0","1","0","0","1","1","Pete Buttigieg","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Frequently","Local TV news","No","In between","Sometimes","They're equally committed","Undecided","Strongly support","Undecided","Support","Not sure","Yes","Slightly increased my motivation to vote","Yes","0","0","1","1","1","0","0","0","0","0","0","Tom Steyer","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local TV news","No","In between","Sometimes","Don't know / No opinion","Strongly support","Strongly support","Strongly oppose","Strongly support","Not sure","Yes","Slightly increased my motivation to vote","No","0","0","1","0","0","1","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Very Frequently","Local TV news","Yes","In between","Don't know / No opinion","Don't know / No opinion","Support","Support","Support","Support","Not sure","Don't know / No opinion","No impact","No","1","0","0","0","0","0","0","0","0","1","1","Amy Klobuchar","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Occasionally","Local TV news","No","In between","Don't know / No opinion","Don't know / No opinion","Strongly support","Strongly support","Oppose","Strongly support","Somewhat","Yes","No impact","Yes","1","0","0","1","1","0","0","0","0","0","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Rarely","Cable news","No","Wrong track","Rarely","Don't know / No opinion","Strongly oppose","Undecided","Oppose","Support","Not sure","Don't know / No opinion","No impact","Yes","0","0","0","0","0","0","1","1","0","1","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Never","Local TV news","Yes","Wrong track","Never","Democrats","Strongly support","Undecided","Support","Undecided","Somewhat","Yes","Decreased my motivation to vote","Yes","0","0","0","0","0","0","0","0","1","1","0","Andrew Yang","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Rarely","Local TV news","No","In between","Never","Don't know / No opinion","Support","Strongly support","Strongly oppose","Strongly support","Not at all","Yes","No impact","No","0","0","0","0","0","0","1","0","0","0","0","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Rarely","Do not have access to news","Yes","In between","Sometimes","Democrats","Oppose","Strongly support","Strongly oppose","Strongly support","Not sure","Yes","No impact","No","0","0","0","0","1","1","0","0","0","0","1","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Frequently","Local TV news","Yes","Wrong track","Rarely","Neither is committed","Strongly support","Oppose","Strongly support","Strongly support","Somewhat","Yes","Decreased my motivation to vote","Yes","0","1","0","0","0","1","1","0","0","0","0","Don't Know / Would not vote","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Occasionally","Local TV news","Yes","Wrong track","Don't know / No opinion","Don't know / No opinion","Undecided","Strongly support","Strongly oppose","Strongly support","Not sure","Yes","Increased my motivation to vote","No","0","0","0","0","1","1","0","0","0","0","1","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Never","Local TV news","No","In between","Never","Neither is committed","Undecided","Undecided","Undecided","Undecided","Not sure","Don't know / No opinion","No impact","No","0","1","0","0","1","0","0","0","0","0","0","Andrew Yang","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Frequently","Cable news","No","In between","Rarely","Democrats","Support","Support","Undecided","Strongly support","Somewhat","Don't know / No opinion","No impact","No","1","0","0","1","1","0","0","0","0","0","0","Julian Castro","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Rarely","Local TV news","Yes","Wrong track","Rarely","Neither is committed","Undecided","Support","Oppose","Support","Somewhat","Yes","No impact","No","0","0","0","1","0","1","0","0","0","1","0","Tom Steyer","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Rarely","Local TV news","No","Wrong track","Rarely","Neither is committed","Undecided","Support","Strongly oppose","Strongly support","Somewhat","Yes","No impact","Yes","0","0","0","0","1","0","0","0","0","1","1","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Never","Local TV news","No","In between","Don't know / No opinion","Democrats","Strongly support","Strongly support","Oppose","Strongly support","Not at all","Yes","No impact","Yes","1","0","0","0","0","0","1","0","0","1","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Local TV news","Yes","Wrong track","Sometimes","Democrats","Undecided","Support","Strongly support","Undecided","Somewhat","No","Slightly increased my motivation to vote","Yes","0","1","0","0","0","0","1","0","0","0","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Do not have access to news","Yes","In between","Rarely","Republicans","Strongly support","Oppose","Oppose","Undecided","A great deal","Yes","No impact","Yes","0","0","0","0","0","1","0","0","0","1","0","Andrew Yang","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Word of mouth","Yes","Wrong track","Rarely","Don't know / No opinion","Support","Strongly support","Strongly oppose","Strongly support","Not sure","Don't know / No opinion","Increased my motivation to vote","Yes","1","0","0","0","0","0","1","0","0","0","1","Julian Castro","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Never","Local TV news","Yes","No opinion","Rarely","Democrats","Strongly oppose","Strongly support","Undecided","Strongly support","Not sure","Yes","No impact","No","0","0","0","0","1","0","1","1","0","0","0","Donald Trump","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Local TV news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Oppose","Strongly support","Strongly oppose","Strongly support","Not sure","Yes","Slightly decreased my motivation to vote","No","0","0","0","0","1","0","0","0","0","1","1","Joe Biden","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Local TV news","No","In between","Sometimes","They're equally committed","Support","Strongly support","Undecided","Strongly support","Somewhat","Yes","Decreased my motivation to vote","No","1","0","0","0","1","0","1","0","0","0","0","Julian Castro","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Rarely","Local TV news","No","In between","Never","Don't know / No opinion","Undecided","Strongly support","Strongly oppose","Undecided","Not sure","Don't know / No opinion","Decreased my motivation to vote","No","1","0","0","0","1","0","1","0","0","0","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Rarely","Cable news","No","No opinion","Never","Republicans","Strongly support","Strongly support","Undecided","Strongly support","Somewhat","Yes","No impact","No","1","0","0","0","0","0","1","0","0","1","0","Kamala Harris","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Never","Word of mouth","Yes","No opinion","Rarely","Don't know / No opinion","Undecided","Strongly support","Undecided","Strongly support","Not sure","Yes","No impact","No","1","0","0","1","0","0","0","0","0","1","0","Donald Trump","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Newspapers","Yes","No opinion","Rarely","Neither is committed","Undecided","Support","Oppose","Support","Not sure","Yes","Increased my motivation to vote","No","0","0","0","0","0","0","1","0","1","0","1","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Local TV news","No","Wrong track","Rarely","Republicans","Strongly support","Support","Strongly oppose","Strongly support","Not at all","Yes","Slightly increased my motivation to vote","No","0","0","0","0","1","0","1","0","0","0","1","Joe Biden","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Word of mouth","No","Wrong track","Never","Republicans","Strongly support","Strongly support","Strongly oppose","Oppose","Not sure","Don't know / No opinion","No impact","No","1","0","0","0","0","0","1","0","0","0","1","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Frequently","Local TV news","No","Right direction","Sometimes","They're equally committed","Support","Strongly support","Oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","1","0","0","1","1","0","0","0","0","Julian Castro","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Never","Local radio","Yes","Right direction","Rarely","Republicans","Undecided","Oppose","Undecided","Undecided","Somewhat","No","Slightly increased my motivation to vote","No","0","1","0","0","0","0","0","1","0","1","0","Amy Klobuchar","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Newspapers","No","No opinion","Very often","Republicans","Undecided","Strongly support","Oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","0","0","1","0","1","0","0","0","1","Bernie Sanders","Disapprove"
